hid,title,type,rating,origination,read,last_read,synonyms,mal,anilist,mangaupdates
sKtPb8do,Si Ling Fashi! Wo Ji Shi Tianzai,Reading,0,Manhua,200,2025-10-16,"死灵法师！我即是天灾,Sǐ Líng Fǎshī! Wǒ Jí Shì Tiānzāi,Thảm Họa Tử Linh Sư,Necromancer! I am a Natural Disaster,Necromancer: King of the Scourge,Necromancer: Rei dos Mortos,Scourge Necromancer,¡Nigromante, La Llegada del Desastre!,Некромант - я катастрофа,全民转职：死灵法师！我即是天灾,唯一無二のネクロマンサー,Scourge Necromancer,Necromante: O Rei da Calamidade,¡Nigromante, La Llegada del Desastre!,Necromancer: Rei dos Mortos,Necromancer! I am a Natural Disaster,Некромант - я катастрофа,唯一無二のネクロマンサー,Si Ling Fashi! Wo Ji Shi Tianzai,Necromancer, the Ultimate Scourge!,Necromancer! I Am a Disaster,Necromancer: King of The Scourge,Disastrous Necromancer,Catastrophic Necromancer",,https://anilist.co/manga/167372,https://www.mangaupdates.com/series/ctgnszr
LHup5qVT,Yeokdaegeum Yeongji Seolgyesa,Reading,0,Manhwa,186,2025-06-03,"역대급 영지 설계사,史上最高の領地設計士,史诗级领地设计师,Система всемогущего дизайнера,MŚCICHUJ,史詩級領地設計師,দ্য গ্রেটেস্ট এস্টেট ডেভেলপার,El Mejor Ingeniero del Mundo,El Mejor Diseñador Inmobiliario,Bậc Thầy Thiết Kế Điền Trang,El mejor desarrollador inmobiliario,Loco Frontera,O Melhor Engenheiro Do Mundo,Yeogdaegeub Yeongji Seolgyesa,Лучший инженер в мире,ยอดสถาปนิกผู้พิทักษ์อาณาจักร,The Greatest Estate Developer,The World's Best Engineer,The Greatest Estate Designer",https://myanimelist.net/manga/147272,https://anilist.co/manga/140407,https://www.mangaupdates.com/series/chin5uq
1CvYWPT1,The Archmage Returns After 4000 Years,Reading,0,Manhwa,213,2025-07-14,"4000년 만에 귀환한 대마도사,4000Nyeon Mane Gwihwanhan Daemadosa,Sang Penyihir Agung Kembali Setelah 4000 Tahun,Архимаг, который вернулся спустя 4000 лет,The Great Mage Returns After 4000 Years,الساحر العظيم يعود بعد 4000 عام,بازگشت ساحر اعظم پس از ۴ هزار سال,มหาจอมเวทผู้กลับมาอีกครั้งหลัง 4000 ปี,جادوگر بزرگ پس از ۴۰۰۰ سال برمی‌گردد,Kembalinya Sang Archmage Setelah 4000 Tahun,4000年后重生异世界的大魔导师,El Retorno del Gran Mago Después de 4000 Años,4000年ぶりに帰還した大魔導士,LE RETOUR DU GRAND MAGE,4000年後重生的大魔導士,Le retour du grand Mage,四千年后重生异世界的大魔导师,4000 Nyeon Mane Gwihwanhan Daemadosa,El gran mago regresa después de 4000 años,Архимаг, который вернулся спустя четыре тысячи лет,Die Rückkehr des grossen Magiers,El flipante mago regresa después de 4 milenios,Архимаг, который вернулся 4000 лет спустя,Архимаг, который вернулся спустя четыре тысячи лет,Архимаг, который вернулся 4000 лет спустя,Die Rückkehr des grossen Magiers",https://myanimelist.net/manga/147693,https://anilist.co/manga/118424,https://www.mangaupdates.com/series/7u8zgak
GpIzxNnb,I'm the Max-Level Newbie,Reading,0,Manhwa,214,2025-07-11,"ผู้เล่นหน้าใหม่เลเวลแมกซ์,Na Honja Mallep Newbie,나 혼자 만렙 뉴비,我独自满级新手,滿級新手,俺だけレベルMAXなビギナー,Нуб максимального уровня,Solo Max-Level Newbie,Người Chơi Mới Cấp Tối Đa,I Am the Top Ranker Newbie,I'm the Max-Level Newbie,Novato solo a nivel máximo,O novato de nível máximo,I'm the Only Max-Leveled Newbie,满级新手,나혼자만렙뉴비",https://myanimelist.net/manga/147392,https://anilist.co/manga/137280,https://www.mangaupdates.com/series/upay4jv
9IUXS185,Seongjwa-deuri Nae Jeja,Reading,0,Manhwa,,0000-00-00,"성좌들이 내 제자,The Constellations Are My Disciples,Les Saints sont mes Disciples,Meus Discípulos são Constelações,ลูกศิษย์ข้าเป็นกลุ่มดาว,圣座们是我的弟子,聖座都是我徒弟,星座たちが俺の教え子,Chòm Sao Là Đệ Tử Của Tôi",https://myanimelist.net/manga/156892,https://anilist.co/manga/163448,https://www.mangaupdates.com/series/4v7jbit
EPl3QHL_,Cheolhyeolgeomga Sanyanggaeui Hoegwi,Reading,0,Manhwa,122,2025-07-23,"Revenge of the Baskerville Bloodhound,Regression of the Ironblade Hound,Return of the Iron-Blooded Hound,Return of the Iron-Blooded Sword Hound,The Return of the Iron-Blood Sword Hound,Revenge of the Sword Clan's Hound,철혈검가 사냥개의 회귀,Demir kanlı kılıç tazısının i̇ntikamı,回帰した鉄血の猟犬,铁血剑家猎犬的回归,عودة الكلب ذي الدم الحديدي,A vingança do cão de caça de sangue de ferro Baskerville,La revanche du limier des Baskerville,O retorno do cão de caça dos Baskerville,El perro de metal,La venganza del sabueso de la espada sangrienta,La venganza del sabueso de sangre de hierro,การกลับมาของหมาล่าเนื้อตระกูลดาบเลือดเหล็ก,বাস্কেরভিলের শিকারীর প্রতিশোধ,Ang Paghihiganti ni VikVik,Ang pagpanimalos sa Irong-buang,Cheolhyeol Geomga Sanyanggaeui Hoegwi,Demir Kanlı Kılıç Tazısının İntikamı,Die Rückkehr des Jagdhundes aus Eisen und Blut,Kuduz Hançerin İntikamı,Thiết Huyết Kiếm Sĩ Hồi Quy,鐵血家族獵犬的重生,Cheolhyeolgeomga Sanyanggaeui Hoegwi,Revenge of the Iron-Blooded Sword Hound",https://myanimelist.net/manga/157888,https://anilist.co/manga/163824,https://www.mangaupdates.com/series/5v7h9gf
54Zwh6iY,After Ten Millennia in Hell,Reading,0,Manhwa,121,2025-07-14,"만 년 만에 귀환한 플레이어,Игрок, который вернулся спустя 10 000 лет,Гравець, який повернувся через 10 000 років,Гравець, Який Повернувся Після 10,000 Років,만 년 만 에 귀환 한 플레이어,1万年ぶりに帰還したプレイヤー,After Ten Millenia in Hell,Aşağı Dünyanın Efendisi,Jugador Que Regresó 10.000 Años Después,Man Nyeon Man-e Gwihwanhan Player,To Hell and Back,เพลเยอร์ผู้กลับมาในรอบหมื่นปี,时隔万年回归的玩家,歷經萬年回歸的玩家,Jugador que regresó 10.000 años después,O Jogador Retorna Depois de 10 Mil Anos,O Jogador Retorna Após 10 mil Anos,Jugador Que Regresó 10.000 Años Después,1万年ぶりに帰還したプレイヤー,After Ten Millenia in Hell,Man Nyeon Man-e Gwihwanhan Player,To Hell and Back,เพลเยอร์ผู้กลับมาในรอบหมื่นปี,时隔万年回归的玩家,歷經萬年回歸的玩家,After Ten Millennia in Hell,Player Who Returned 10,000 Years Later,Man Nyeon Mane Gwihwanhan Player",https://myanimelist.net/manga/150210,https://anilist.co/manga/153284,https://www.mangaupdates.com/series/biuiwcm
_qblAedX,Oemo Jisangjuui,Reading,0,Manhwa,563,2025-07-14,"看臉時代,외모지상주의,Gaiken Shijou Shugi,Лукізм,Lookism,外見至上主義,Oemo Jisang Juui,Oemojisangjuui,Apari3ncias,Görünüşçülük,Дискриминация по внешности,Лукизм,外貌至上主義,看脸时代,Hoán Đổi Diệu Kỳ",https://myanimelist.net/manga/111202,https://anilist.co/manga/86848,https://www.mangaupdates.com/series/0udr4gz
71gMd0vF,Solo Leveling,Completed,0,Manhwa,,0000-00-00,"我独自升级,我獨自升級,Na Honjaman Lebel-eob,Ore Dake Level Up na Ken,나 혼자만 레벨업,俺だけレベルアップな件,Поднятие уровня в одиночку,I Alone Level-Up,Jogador solo,Upando sozinho,Singur îmi ridic nivelul,Тільки я візьму новий рівень,سولو لولینگ,تکرو,केवल मैं स्तर बढ़ाता हूं,सोलो लेभलिङ,Aku Level Up Sendiri,Grinding Sendiri,Ben yanlız gelişirim,Tek başına seviye atlama,სოლო ლეველინგი,سولو ليفيلنغ,الإرتقاء بالمستوى منفردًا,俺だけレベルアップな件〜外伝〜,Sadece Ben Seviye Atlayabiliyorum,Yalnız Seviye Atlama,I am the only the one who levels up,Solo Adtritio,সোলো লেভেলিং,שחקן בודד,சோலோ லெவெலிங்,सोलो लेवलिंग,Egyéni szintlépés,Only I Level up,I level up alone,Jogador Solo,Upando Sozinho,나혼렙,Solo Leveling",https://myanimelist.net/manga/121496,https://anilist.co/manga/105398,https://www.mangaupdates.com/series/6z1uqw7
H5vSGWiZ,Tomb Raider King,Completed,0,Manhwa,411,2025-06-22,"盗掘王,盜墓王,我独自盗墓,Расхититель гробниц,Grave Robber - King,TRK,Dogul Wang,도굴왕,Raja Penjarah Makam,King of Excavation,El Rey de las Tumbas,King of Thief,The King of Robbers,Tomb RaIder (Yoonz),Toukutsuou,Великий расхититель гробниц",https://myanimelist.net/manga/130216,https://anilist.co/manga/110462,https://www.mangaupdates.com/series/khaoov3
lob3fQ0D,Na Honjaman Level-Up: Ragnarok,On-Hold,0,Manhwa,64,2025-12-10,"我独自升级 ：诸神黄昏,I Alone Level Up: Ragnarok,Na Honjaman Rebereop: Ragnarok,Only I Level Up: Ragnarok,Ore dake Level Up na Ken: Ragnarok,Solo Leveling : Ragnarok,Поднятие уровня в одиночку: Рагнарёк,俺だけレベルアップな件〜ラグナロク〜,我独自升级：诸神黄昏,我独自升级：诸神黄昏,Na Honjaman Rebereop: Ragnarok,Ore dake Level Up na Ken: Ragnarok,我独自升级 ：诸神黄昏,나 혼자만 레벨업 : 라그나로크,Upando Sozinho: Ragnarok,俺だけレベルアップな件〜ラグナロク〜,I Alone Level Up: Ragnarok,Only I Level Up: Ragnarok,Поднятие уровня в одиночку: Рагнарёк,Solo Leveling: Ragnarok,Tôi Thăng Cấp Một Mình: Tận Thế Ragnarok",https://myanimelist.net/manga/172429,https://anilist.co/manga/179445,https://www.mangaupdates.com/series/m13i58t
i3U99GMc,Frozen Warrior,Plan to Read,0,Manhwa,3,2025-07-24,"นักรบแช่แข็ง,The Frostbound Warrior,냉동무사,Kesatria Es,นักรบแช่แข็ง,冰影戰魂",https://myanimelist.net/manga/178736,https://anilist.co/manga/188462,https://www.mangaupdates.com/series/bihgk7q
